key,units,period,geography,category,description,source,technical notes
Housing Environmental Justice Index,Percentile,2015,Census Tract,Environment,"Index of exposure to housing built before 1960 and at risk of containing lead, weighted by vulnerability of the population (reported as a percentile within Illinois, where 0 = lowest exposure, and 100 = highest vulnerability). Weighting by the vulnerability of residents can provide a better estimate of the disproportionate impact of environmental hazards.",Environmental Protection Agency EJSCREEN,
Water Polluters Environmental Justice Index,Percentile,2015,Census Tract,Environment,"Index of exposure to major water polluting sites, weighted by vulnerability of the population (reported as a percentile within Illinois, where 0 = lowest exposure, and 100 = highest vulnerability). Weighting by the vulnerability of residents can provide a better estimate of the disproportionate impact of environmental hazards.",Environmental Protection Agency EJSCREEN,
Superfund Sites Environmental Justice Index,Percentile,2015,Census Tract,Environment,"Index of exposure to Superfund toxic waste sites, weighted by vulnerability of the population (reported as a percentile within Illinois, where 0 = lowest exposure, and 100 = highest vulnerability). Weighting by the vulnerability of residents can provide a better estimate of the disproportionate impact of environmental hazards.",Environmental Protection Agency EJSCREEN,
Potential Chemical Accidents Environmental Justice Index,Percentile,2015,Census Tract,Environment,"Index of exposure to potential chemical accident sites, weighted by vulnerability of the population (reported as a percentile within Illinois, where 0 = lowest exposure, and 100 = highest vulnerability). Weighting by the vulnerability of residents can provide a better estimate of the disproportionate impact of environmental hazards.",Environmental Protection Agency EJSCREEN,
Hazardous Waste Environmental Justice Index,Percentile,2015,Census Tract,Environment,"Index of exposure to hazardous waste treatment and disposal sites, weighted by vulnerability of the population (reported as a percentile within Illinois, where 0 = lowest exposure, and 100 = highest vulnerability). Weighting by the vulnerability of residents can provide a better estimate of the disproportionate impact of environmental hazards.",Environmental Protection Agency EJSCREEN,
Ozone Environmental Justice Index,Percentile,2015,Census Tract,Environment,"Index of exposure to ozone, weighted by vulnerability of the population (reported as a percentile within Illinois, where 0 = lowest exposure, and 100 = highest vulnerability). Weighting by the vulnerability of residents can provide a better estimate of the disproportionate impact of environmental hazards.",Environmental Protection Agency EJSCREEN,
Particulate Matter Environmental Justice Index,Percentile,2015,Census Tract,Environment,"Index of exposure to PM 2.5, weighted by vulnerability of the population (reported as a percentile within Illinois, where 0 = lowest exposure, and 100 = highest vulnerability). Weighting by the vulnerability of residents can provide a better estimate of the disproportionate impact of environmental hazards.",Environmental Protection Agency EJSCREEN,
Housing units,,2010-2014,Census Tract,Housing,,"American Community Survey, Table B25034",
Rent-burdened,% of renter-occupied units,2010-2014,Census Tract,Housing,"Households spending more than 30% of income on rent are considered rent-burdened. Rent costs do not include utilities, insurance, or building fees. ","American Community Survey, Table B25070",
Severely rent-burdened,% of renter-occupied units,2010-2014,Census Tract,Housing,"Households spending more than 50% of income on rent are considered severely rent-burdened. Rent costs do not include utilities, insurance, or building fees. ","American Community Survey, Table B25070",
Median gross rent,$,2010-2014,Census Tract,Housing,"Values above $2,000 are coded as $2,000.","American Community Survey, Table B25064",
Median value,$,2010-2014,Census Tract,Housing,"Owner-occupied housing units, in 2014 dollars. Values above $1,000,000 are coded as $1,000,000.","American Community Survey, Table B25077",
Occupied,% of housing units,2010-2014,Census Tract,Housing,Percent of housing units,"American Community Survey, Table B25002",
Vacant,% of housing units,2010-2014,Census Tract,Housing,Percent of housing units,"American Community Survey, Table B25002",
Single housing unit,% of housing units,2010-2014,Census Tract,Housing,Percent of housing units in single-unit structures,"American Community Survey, Table B25024",
2-4 housing units in building,% of housing units,2010-2014,Census Tract,Housing,Percent of housing units in structures with 2-4 units,"American Community Survey, Table B25024",
5+ housing units in building,% of housing units,2010-2014,Census Tract,Housing,Percent of housing units in structures with 5+ units,"American Community Survey, Table B25024",
Built 1979 or earlier,% of housing units,2010-2014,Census Tract,Housing,"Lead-based paint, which can cause severe developmental disorders in young children, was banned from use in new structures in 1978.","American Community Survey, Table B25034",
Built 1939 or earlier,% of housing units,2010-2014,Census Tract,Housing,,"American Community Survey, Table B25034",
Owner occupied,% of housing units,2010-2014,Census Tract,Housing,,"American Community Survey, Table B25003",
Renter occupied,% of housing units,2010-2014,Census Tract,Housing,,"American Community Survey, Table B25003",
Moved in before 1990,% of housing units,2010-2014,Census Tract,Housing,,"American Community Survey, Table B25038",
Utility gas heat,% of housing units,2010-2014,Census Tract,Housing,Percent of occupied housing units.,"American Community Survey, Table B25040",
Electric heat,% of housing units,2010-2014,Census Tract,Housing,Percent of occupied housing units.,"American Community Survey, Table B25040",
Combustion fuel heat,% of housing units,2010-2014,Census Tract,Housing,"Percent of occupied housing units. Includes wood, coal, coke, kerosene, and fuel oil","American Community Survey, Table B25040",
No heat,% of housing units,2010-2014,Census Tract,Housing,Percent of occupied housing units.,"American Community Survey, Table B25040",
Lacking complete plumbing,% of housing units,2010-2014,Census Tract,Housing,,"American Community Survey, Table B25047",
No telephone service,% of housing units,2010-2014,Census Tract,Housing,,"American Community Survey, Table B25043",
Median year structure built,,2010-2014,Census Tract,Housing,Values below 1939 are coded as 1939.,"American Community Survey, Table B25035",
Crowded housing,% of housing units,2010-2014,Census Tract,Housing,Percent of housing units with more than one occupant per room,"American Community Survey, Table B25014",
Median selected monthly owner costs,$,2010-2014,Census Tract,Housing,"Owner-occupied housing units. Selected monthly owner costs include mortgage payments, real estate taxes, insurance, utilities, and building fees. Values over $4,000 have been coded as $4,000.","American Community Survey, Table B25088",
Housing units with mortgage,%,2010-2014,Census Tract,Housing,,"American Community Survey, Table B25087",
"Median value, 5-year change",%,2005-2009 - 2010-2014,Census Tract,Housing,Change in the median value of owner-occupied housing units.,"American Community Survey, Table B25077",
"Median gross rent, 5-year change",%,2005-2009 - 2010-2014,Census Tract,Housing,Change in the median gross rent,"American Community Survey, Table B25064",
Violent crime,"per 100,000 residents",2013-2015,Census Tract,Public Safety,"Crimes related to violence (yearly rate). Includes homicide, criminal sexual assault, robbery, aggravated assault, and aggravated battery. UCR codes are from http://gis.chicagopolice.org/clearmap_crime_sums/crime_types.html.","Chicago Police Department, via Plenar.io",
Major crime,"per 100,000 residents",2013-2015,Census Tract,Public Safety,"The most serious offenses, also known as index crimes (yearly rate). Includes homicide, criminal sexual assault, robbery, aggravated assault, aggravated battery, burglary, larceny, vehicle theft, and arson. UCR codes are from http://gis.chicagopolice.org/clearmap_crime_sums/crime_types.html.","Chicago Police Department, via Plenar.io",
Population (2010),,2010,Census Tract,Historic,,2010 Census Summary File,
Household Median income (2005-2009),$,2005-2009,Census Tract,Historic,In 2014 dollars.,"American Community Survey, Table B19013",
Unemployment (2005-2009),% of labor force,2005-2009,Census Tract,Historic,Percent of residents in the civilian labor force who are actively seeking employment,"American Community Survey, Table B23001",
Median value (2005-2009),$,2005-2009,Census Tract,Historic,"Owner-occupied housing units, in 2014 dollars. Values above $1,000,000 are coded as $1,000,000.","American Community Survey, Table B25077",
Poverty rate (2005-2009),% of residents,2005-2009,Census Tract,Historic,"Individuals, past 12 months income","American Community Survey, Table B17001",
Child poverty rate (2005-2009),% of children <18,2005-2009,Census Tract,Historic,Past 12 months income,"American Community Survey, Table B17001",
Median gross rent (2005-2009),$,2005-2009,Census Tract,Historic,"In 2014 dollars; values above $2,000 are coded as $2,000.","American Community Survey, Table B25064",
ZIP,,,ZIP Code,Identification,,,
Special area,,,ZIP Code,Identification,,,
Latitude,,2015,ZIP Code,Identification,Centroid latitude.,U.S. Gazetteer,
Longitude,,2015,ZIP Code,Identification,Centroid longitude.,U.S. Gazetteer,
County,,,ZIP Code,Geofilter,,,
Hardship Index,,2010-2014,ZIP Code,Social Indices,"The Hardship Index is a composite score reflecting hardship in the community (higher values indicate greater hardship). It incorporates unemployment, dependency (minors and elderly), education, per capita income, crowded housing, and poverty. See technical notes for details.","Presence Health, based on American Community Survey",
Race-Ethnicity Diversity Index,,2010-2014,ZIP Code,Social Indices,"The Race-Ethnicity Diversity Index measures the probability that any two residents of an area belong to the same race and ethnicity. A score of 0 represents a perfectly homogenous community; the higher the score, the more diverse the area. The highest possible score is 0.875, not 1. The index includes Non-Hispanic White, Non-Hispanic Black, Hispanic/Latino, Asian, American Indian/Alaskan, Pacific Islander/Hawaiian, other, and two or more races. ","Presence Health, based on American Community Survey, Table B03002",
Gini index of income inequality,,2010-2014,ZIP Code,Social Indices,"The Gini index measures how much the distribution of income deviates from a fully equal distribution. A value of 0 represents perfect equality (every household has the same income), and a value of 100 represents perfect inequality (one household has all the income). The corresponding Gini index for the United States as a whole is 0.476.","American Community Survey, Table B19083",
Population,,2010-2014,ZIP Code,Demographic,Average population over the time period.,"American Community Survey, Table S0101",
"Population Change, 2000-2010",%,2000-2010,ZIP Code,Demographic,,2000/2010 Census Summary File,NOT PRESENT
Male,%,2010-2014,ZIP Code,Demographic,,"American Community Survey, Table B01001",
Female,%,2010-2014,ZIP Code,Demographic,,"American Community Survey, Table B01001",
Median age,,2010-2014,ZIP Code,Demographic,,"American Community Survey, Table S0101",
Age <18,% of residents,2010-2014,ZIP Code,Demographic,,"American Community Survey, Table S0101",
Age 65+,% of residents,2010-2014,ZIP Code,Demographic,,"American Community Survey, Table S0101",
Sex ratio,Males per 100 females,2010-2014,ZIP Code,Demographic,,"American Community Survey, Table S0101",
Age dependency ratio,Dependents per 100 working-age adults,2010-2014,ZIP Code,Demographic,Includes children <18 years old and elderly 65+ years old. Does not account for disability,"American Community Survey, Table S0101",
White,%,2010-2014,ZIP Code,Demographic,Non-Hispanic White,"American Community Survey, Table B02001/B03002",
Black,%,2010-2014,ZIP Code,Demographic,Non-Hispanic Black or African American,"American Community Survey, Table B02001/B03002",
American Indian,%,2010-2014,ZIP Code,Demographic,American Indian and Alaska Native,"American Community Survey, Table B02001",
Asian,%,2010-2014,ZIP Code,Demographic,Asian (excluding Pacific Islander),"American Community Survey, Table B02001",
Hispanic/Latino,%,2010-2014,ZIP Code,Demographic,Hispanic or Latino (of any race),"American Community Survey, Table B03002",
Native,%,2010-2014,ZIP Code,Demographic,Percent of residents who were U.S. citizens at the time of birth,"American Community Survey, Table B05002",
Foreign born,%,2010-2014,ZIP Code,Demographic,Percent of residents who were not U.S. citizens at the time of birth (includes naturalized citizens),"American Community Survey, Table B05002",
Non-citizens,%,2010-2014,ZIP Code,Demographic,Percent of residents who are not U.S. citizens (including documented and undocumented residents),"American Community Survey, Table B05002",
Speak Spanish at home,%,2010-2014,ZIP Code,Demographic,% of residents 5+ who speak primarily Spanish at home,"American Community Survey, Table B16004",
Speak English poorly,%,2010-2014,ZIP Code,Demographic,"% of residents 5+ who rate their ability to speak English less than ""well""","American Community Survey, Table B16004",
Households with Social Security income,%,2010-2014,ZIP Code,Safety Net,Households reporting Social Security income over the past 12 months,"American Community Survey, Table B19055",NOT PRESENT
Households with food stamps/SNAP,%,2010-2014,ZIP Code,Safety Net,Households receiving cash public assistance or food stamps/Supplemental Nutrition Assistance Program (SNAP) over the past 12 months,"American Community Survey, Table B19058",NOT PRESENT
Disability (children),%,2010-2014,ZIP Code,Safety Net,Percentage of residents <18 with a disability,"American Community Survey, Table B18135",NOT PRESENT
Disability (working-age adults),%,2010-2014,ZIP Code,Safety Net,Percentage of residents 18-64 with a disability,"American Community Survey, Table B18135",NOT PRESENT
Disability (elderly),%,2010-2014,ZIP Code,Safety Net,Percentage of residents 65+ with a disability,"American Community Survey, Table B18135",NOT PRESENT
Uninsured,%,2010-2014,ZIP Code,Health Insurance,Non-institutionalized civilians,"American Community Survey, Table S2701",NOT PRESENT
Children Uninsured,%,2010-2014,ZIP Code,Health Insurance,Non-institutionalized civilians under 18,"American Community Survey, Table S2701",NOT PRESENT
Private Health Insurance,%,2010-2014,ZIP Code,Health Insurance,Non-institutionalized civilians,"American Community Survey, Table S2701",NOT PRESENT
Employer-Based Health Insurance,%,2010-2014,ZIP Code,Health Insurance,Non-institutionalized civilians,"American Community Survey, Table S2701",NOT PRESENT
Medicare,%,2010-2014,ZIP Code,Health Insurance,Non-institutionalized civilians,"American Community Survey, Table S2701",NOT PRESENT
Medicaid,%,2010-2014,ZIP Code,Health Insurance,"Non-institutionalized civilians with Medicaid or other public assistance, e.g. CHIP","American Community Survey, Table S2701",NOT PRESENT
Health insurance marketplace plan selections,"per 10,000 residents",2015,ZIP Code,Health Insurance,"Number of consumers selecting plans or automatically re-enrolled for the 2015 coverage year on the federal marketplace (37 states) between November 15, 2014 and January 16, 2015. The Open Enrollment period continued through February 15, 2015. ZIP codes with 50 or fewer selections are not included.",Centers for Medicare & Medicaid Services,
High school graduation rate,% of residents 25+,2010-2014,ZIP Code,Education,Residents 25 or older with at least a high school degree: including GED,"American Community Survey, Table B15003",
College graduation rate,% of residents 25+,2010-2014,ZIP Code,Education,Residents 25 or older with at least a bachelor's degree: not including Associate's degree,"American Community Survey, Table B15003",
Disconnected youth,% of residents 16-19,2010-2014,ZIP Code,Education,Percent of residents 16-19 years old who are neither working nor enrolled in school,"American Community Survey, Table B14005",NOT PRESENT
Unemployment,%,2010-2014,ZIP Code,Economic,% of residents in the civilian labor force who are actively seeking employment,"American Community Survey, Table B23025",
Labor force participation,%,2010-2014,ZIP Code,Economic,"Residents 16 and older who are currently employed, enlisted in the armed forces, or actively seeking employment","American Community Survey, Table B23025",
"Poverty rate, families",%,2010-2014,ZIP Code,Economic,"Percent of all families in poverty, past 12 months income","American Community Survey, Table B17010",
"Poverty rate, families with children",%,2010-2014,ZIP Code,Economic,"Percent of all families with children that are in poverty, past 12 months income","American Community Survey, Table B17010",
"Poverty rate, families with children <5",%,2010-2014,ZIP Code,Economic,"Percent of all families with children <5 that are in poverty, past 12 months income","American Community Survey, Table B17010",
Poverty rate,% of residents,2010-2014,ZIP Code,Economic,"Individuals in families that are in poverty, past 12 months income","American Community Survey, Table B17001",NOT PRESENT
Poverty rate <5,% of children <5,2010-2014,ZIP Code,Economic,"Residents <5 years old in families that are in poverty, past 12 months income","American Community Survey, Table B17001",NOT PRESENT
Child poverty rate,%,2010-2014,ZIP Code,Economic,"Residents <18 years old in families that are in poverty, past 12 months income","American Community Survey, Table B17001",NOT PRESENT
Working-age adult poverty rate,%,2010-2014,ZIP Code,Economic,"Residents 18-64 years old in families that are in poverty, past 12 months income","American Community Survey, Table B17001",NOT PRESENT
Elderly poverty rate,%,2010-2014,ZIP Code,Economic,"Residents 65+ years old in families that are in poverty, past 12 months income","American Community Survey, Table B17001",NOT PRESENT
"Poverty rate, 5-year change",Percentage points,2005-2009 - 2010-2014,ZIP Code,Economic,Change in the percent of residents under the poverty level (past 12 months income),"American Community Survey, Table B17001",NOT PRESENT
"Child poverty rate, 5-year change",Percentage points,2005-2009 - 2010-2014,ZIP Code,Economic,Change in the percent of residents under 18 living under the poverty level (past 12 months income),"American Community Survey, Table B17001",NOT PRESENT
Households with earnings,%,2010-2014,ZIP Code,Economic,Households reporting earnings from any source over the past 12 months,"American Community Survey, Table B19051",NOT PRESENT
Household median income,$,2010-2014,ZIP Code,Economic,"Includes households with no income, in 2014 dollars","American Community Survey, Table B19013",NOT PRESENT
Household mean income,$,2010-2014,ZIP Code,Economic,"Includes households with no income, in 2014 dollars","American Community Survey, Table B19025",NOT PRESENT
Per capita income,$,2010-2014,ZIP Code,Economic,"In 2014 dollars, past 12 months","American Community Survey, Table B19301",
Median earnings for workers,$,2010-2014,ZIP Code,Economic,"full-time workers 16 years and older, in 2014 dollars","American Community Survey, Table B20002",NOT PRESENT
"Median earnings, male",$,2010-2014,ZIP Code,Economic,"Male full-time workers 16 years and older, in 2014 dollars","American Community Survey, Table B20002",NOT PRESENT
"Median earnings, female",$,2010-2014,ZIP Code,Economic,"Female full-time workers 16 years and older, in 2014 dollars","American Community Survey, Table B20002",NOT PRESENT
Female earnings differential,,2010-2014,ZIP Code,Economic,Median female earnings as a percentage of median male earnings. Reported only where the differential is statistically significant at 90% confidence,"American Community Survey, Table B20002",NOT PRESENT
"Household median income, Black",$,2010-2014,ZIP Code,Economic,Households with a householder who is Black or African American alone,"American Community Survey, Table B19013B",NOT PRESENT
"Household median income, Asian",$,2010-2014,ZIP Code,Economic,Households with a householder who is Asian alone,"American Community Survey, Table B19013D",NOT PRESENT
"Household median income, Non-Hispanic White",$,2010-2014,ZIP Code,Economic,"Households with a householder who is White alone, not Hispanic or Latino","American Community Survey, Table B19013H",NOT PRESENT
"Household median income, Hispanic",$,2010-2014,ZIP Code,Economic,Households with a householder who is Hispanic or Latino,"American Community Survey, Table B19013I",NOT PRESENT
White-Black household income differential,,2010-2014,ZIP Code,Economic,Median black household income as a percentage of the median nh white household income. Reported only where the differential is statistically significant at 90% confidence,"American Community Survey, Table B19013B/H",NOT PRESENT
White-Hispanic household income differential,,2010-2014,ZIP Code,Economic,Median hispanic household income as a percentage of the median nh white household income. Reported only where the differential is statistically significant at 90% confidence,"American Community Survey, Table B19013H/I",NOT PRESENT
"Household median income, 5-year change",%,2005-2009 - 2010-2014,ZIP Code,Economic,,"American Community Survey, Table B19013",NOT PRESENT
"Unemployment, 5-year change",Percentage points,2005-2009 - 2010-2014,ZIP Code,Economic,Change in the percent of residents in the civilian labor force who are actively seeking employment,"American Community Survey, Table B23001",NOT PRESENT
Family households,% of households,2010-2014,ZIP Code,Family Structure,Households consisting of one or more families.,"American Community Survey, Table B11001",NOT PRESENT
Female-headed family households,% of households,2010-2014,ZIP Code,Family Structure,Households consisting of a family headed by a female (no male head of household present).,"American Community Survey, Table B11001",NOT PRESENT
Living alone,% of households,2010-2014,ZIP Code,Family Structure,Households consisting of a single occupant.,"American Community Survey, Table B11001",NOT PRESENT
Average household size,,2010-2014,ZIP Code,Family Structure,"A household is a group of individuals occupying the same housing unit, such as a family, a single occupant, or unrelated roommates.","American Community Survey, Table B25010",NOT PRESENT
Women 15-50 with recent birth,%,2010-2014,ZIP Code,Family Structure,Percentage of women 15 to 50 years old who had a birth in the past 12 months,"American Community Survey, Table B13002",NOT PRESENT
% of births to unmarried women,%,2010-2014,ZIP Code,Family Structure,As a percentage of all births (including divorced and widowed women),"American Community Survey, Table B13002",NOT PRESENT
Walk Score,,2016,ZIP Code,Built Environment,"Walk Score is a number between 0 and 100 that measures the walkability of any address. Areas with a Walk Score of 70 or above are very walkable, while areas below 50 are car-dependent.",Redfin,
Drive alone to work,% of workers 16 years and older,2010-2014,ZIP Code,Built Environment,"Percent of workers 16 and older who commute to work using a car, truck, or van (not including carpool)","American Community Survey, Table B08301",NOT PRESENT
Public transportation to work,% of workers 16 years and older,2010-2014,ZIP Code,Built Environment,Percent of workers 16 and older who commute to work using public transportation,"American Community Survey, Table B08301",NOT PRESENT
Bike to work,% of workers 16 years and older,2010-2014,ZIP Code,Built Environment,Percent of workers 16 and older who commute to work by bicycle,"American Community Survey, Table B08301",NOT PRESENT
Walk to work,% of workers 16 years and older,2010-2014,ZIP Code,Built Environment,Percent of workers 16 and older who walk to work,"American Community Survey, Table B08301",NOT PRESENT
Mean travel time to work,Minutes,2010-2014,ZIP Code,Built Environment,For workers 16 and over who do not work at home,"American Community Survey, Table B08135",NOT PRESENT
Location Affordability Index (Housing + Transportation),% of family income,2008-2012,ZIP Code,Built Environment,"The Location Affordability Index gives estimates of the percentage of a family's income dedicated to the combined cost of housing and transportation, for a typical single-parent family earning 50% of the regional median income. Methodology: http://www.locationaffordability.info/About_Data.aspx",Department of Housing and Urban Development / Department of Transportation,NOT PRESENT
Location Affordability Index (Housing only),% of family income,2008-2012,ZIP Code,Built Environment,"The Location Affordability Index gives estimates of the percentage of a family's income dedicated to housing, for a typical single-parent family earning 50% of the regional median income. Methodology: http://www.locationaffordability.info/About_Data.aspx",Department of Housing and Urban Development / Department of Transportation,NOT PRESENT
Location Affordability Index (Transportation only),% of family income,2008-2012,ZIP Code,Built Environment,"The Location Affordability Index gives estimates of the percentage of a family's income dedicated to transportation, for a typical single-parent family earning 50% of the regional median income. Methodology: http://www.locationaffordability.info/About_Data.aspx",Department of Housing and Urban Development / Department of Transportation,NOT PRESENT
Automobiles per household,,2008-2012,ZIP Code,Built Environment,"Estimated, for a typical single-parent household earning 50% of the regional median income.",Department of Housing and Urban Development / Department of Transportation,NOT PRESENT
Annual vehicle miles traveled,,2008-2012,ZIP Code,Built Environment,"Estimated, for a typical single-parent household earning 50% of the regional median income.",Department of Housing and Urban Development / Department of Transportation,NOT PRESENT
Annual public transit trips,,2008-2012,ZIP Code,Built Environment,"Estimated, for a typical single-parent household earning 50% of the regional median income.",Department of Housing and Urban Development / Department of Transportation,NOT PRESENT
Children with high blood lead levels,% of children <6,,ZIP Code,Built Environment,"Percent of children tested. Children with blood lead levels of 5 micrograms/dL or greater. According to the CDC, no level of lead in the blood is safe for children, but special attention should be paid when levels are above 5 micrograms/dL.",Illinois Department of Public Health via the Chicago Tribune,
Rent-burdened,% of renter-occupied units,2010-2014,ZIP Code,Housing,"Households spending more than 30% of income on rent are considered rent-burdened. Rent costs do not include utilities, insurance, or building fees. ","American Community Survey, Table B25070",NOT PRESENT
Severely rent-burdened,% of renter-occupied units,2010-2014,ZIP Code,Housing,"Households spending more than 50% of income on rent are considered severely rent-burdened. Rent costs do not include utilities, insurance, or building fees. ","American Community Survey, Table B25070",NOT PRESENT
Median gross rent,$,2010-2014,ZIP Code,Housing,"Values above $2,000 are coded as $2,000.","American Community Survey, Table B25064",NOT PRESENT
Median value,$,2010-2014,ZIP Code,Housing,"Owner-occupied housing units, in 2014 dollars. Values above $1,000,000 are coded as $1,000,000.","American Community Survey, Table B25077",NOT PRESENT
Housing units,,2010-2014,ZIP Code,Housing,,"American Community Survey, Table B25034",
Occupied,% of housing units,2010-2014,ZIP Code,Housing,Percent of housing units,"American Community Survey, Table B25002",NOT PRESENT
Vacant,% of housing units,2010-2014,ZIP Code,Housing,Percent of housing units,"American Community Survey, Table B25002",NOT PRESENT
Single housing unit,% of housing units,2010-2014,ZIP Code,Housing,Percent of housing units in single-unit structures,"American Community Survey, Table B25024",NOT PRESENT
2-4 housing units in building,% of housing units,2010-2014,ZIP Code,Housing,Percent of housing units in structures with 2-4 units,"American Community Survey, Table B25024",NOT PRESENT
5+ housing units in building,% of housing units,2010-2014,ZIP Code,Housing,Percent of housing units in structures with 5+ units,"American Community Survey, Table B25024",NOT PRESENT
Built 1979 or earlier,% of housing units,2010-2014,ZIP Code,Housing,"Lead-based paint, which can cause severe developmental disorders in young children, was banned from use in new structures in 1978.","American Community Survey, Table B25034",
Built 1939 or earlier,% of housing units,2010-2014,ZIP Code,Housing,,"American Community Survey, Table B25034",
Owner occupied,% of housing units,2010-2014,ZIP Code,Housing,,"American Community Survey, Table B25003",NOT PRESENT
Renter occupied,% of housing units,2010-2014,ZIP Code,Housing,,"American Community Survey, Table B25003",NOT PRESENT
Moved in before 1990,% of housing units,2010-2014,ZIP Code,Housing,,"American Community Survey, Table B25038",NOT PRESENT
Utility gas heat,% of housing units,2010-2014,ZIP Code,Housing,Percent of occupied housing units.,"American Community Survey, Table B25040",NOT PRESENT
Electric heat,% of housing units,2010-2014,ZIP Code,Housing,Percent of occupied housing units.,"American Community Survey, Table B25040",NOT PRESENT
Combustion fuel heat,% of housing units,2010-2014,ZIP Code,Housing,"Percent of occupied housing units. Includes wood, coal, coke, kerosene, and fuel oil","American Community Survey, Table B25040",NOT PRESENT
No heat,% of housing units,2010-2014,ZIP Code,Housing,Percent of occupied housing units.,"American Community Survey, Table B25040",NOT PRESENT
Lacking complete plumbing,% of housing units,2010-2014,ZIP Code,Housing,,"American Community Survey, Table B25047",NOT PRESENT
No telephone service,% of housing units,2010-2014,ZIP Code,Housing,,"American Community Survey, Table B25043",NOT PRESENT
Median year structure built,,2010-2014,ZIP Code,Housing,Values below 1939 are coded as 1939.,"American Community Survey, Table B25035",NOT PRESENT
Crowded housing,% of housing units,2010-2014,ZIP Code,Housing,Percent of housing units with more than one occupant per room,"American Community Survey, Table B25014",
Median selected monthly owner costs,$,2010-2014,ZIP Code,Housing,"Owner-occupied housing units. Selected monthly owner costs include mortgage payments, real estate taxes, insurance, utilities, and building fees. Values over $4,000 have been coded as $4,000.","American Community Survey, Table B25088",NOT PRESENT
Housing units with mortgage,%,2010-2014,ZIP Code,Housing,,"American Community Survey, Table B25087",NOT PRESENT
"Median value, 5-year change",%,2005-2009 - 2010-2014,ZIP Code,Housing,Change in the median value of owner-occupied housing units.,"American Community Survey, Table B25077",NOT PRESENT
"Median gross rent, 5-year change",%,2005-2009 - 2010-2014,ZIP Code,Housing,Change in the median gross rent,"American Community Survey, Table B25064",NOT PRESENT
Population (2010),,2010,ZIP Code,Historic,,2010 Census Summary File,NOT PRESENT
Household Median income (2005-2009),$,2005-2009,ZIP Code,Historic,In 2014 dollars.,"American Community Survey, Table B19013",NOT PRESENT
Unemployment (2005-2009),% of labor force,2005-2009,ZIP Code,Historic,Percent of residents in the civilian labor force who are actively seeking employment,"American Community Survey, Table B23001",NOT PRESENT
Median value (2005-2009),$,2005-2009,ZIP Code,Historic,"Owner-occupied housing units, in 2014 dollars. Values above $1,000,000 are coded as $1,000,000.","American Community Survey, Table B25077",NOT PRESENT
Poverty rate (2005-2009),% of residents,2005-2009,ZIP Code,Historic,"Individuals, past 12 months income","American Community Survey, Table B17001",NOT PRESENT
Child poverty rate (2005-2009),% of children <18,2005-2009,ZIP Code,Historic,Past 12 months income,"American Community Survey, Table B17001",NOT PRESENT
Median gross rent (2005-2009),$,2005-2009,ZIP Code,Historic,"In 2014 dollars; values above $2,000 are coded as $2,000.","American Community Survey, Table B25064",NOT PRESENT
Hospitalizations,"per 10,000 residents",2011-2013,ZIP Code,Hospitalizations,Excluding childbirth.,"COMPdata Informatics, Illinois Health and Hospital Association",
Pediatric hospitalizations,"per 10,000 residents <18",2011-2013,ZIP Code,Hospitalizations,Excluding childbirth.,"COMPdata Informatics, Illinois Health and Hospital Association",
Elderly hospitalizations,"per 10,000 residents 65+",2011-2013,ZIP Code,Hospitalizations,Excluding childbirth.,"COMPdata Informatics, Illinois Health and Hospital Association",
Acute myocardial infarction hospitalizations,"per 10,000 residents",2011-2013,ZIP Code,Hospitalizations,Principal diagnosis.,"COMPdata Informatics, Illinois Health and Hospital Association",
Asthma hospitalizations,"per 10,000 residents",2011-2013,ZIP Code,Hospitalizations,Principal diagnosis.,"COMPdata Informatics, Illinois Health and Hospital Association",
"Asthma hospitalizations, <5 years","per 10,000 residents <5",2011-2013,ZIP Code,Hospitalizations,Principal diagnosis.,"COMPdata Informatics, Illinois Health and Hospital Association",
"Asthma hospitalizations, pediatric","per 10,000 residents <18",2011-2013,ZIP Code,Hospitalizations,Principal diagnosis.,"COMPdata Informatics, Illinois Health and Hospital Association",
"Asthma hospitalizations, younger adults","per 10,000 residents 18-39",2011-2013,ZIP Code,Hospitalizations,"PQI #5. Principal diagnosis. Includes those with indication of cystic fibrosis or respiratory system anomalies, obstetric admissions, and transfers.","COMPdata Informatics, Illinois Health and Hospital Association",http://www.qualityindicators.ahrq.gov/Downloads/Modules/PQI/V50/TechSpecs/PQI_15_Asthma_in_Younger_Adults_Admission_Rate.pdf
"Asthma hospitalizations, elderly","per 10,000 residents 65+",2011-2013,ZIP Code,Hospitalizations,Principal diagnosis.,"COMPdata Informatics, Illinois Health and Hospital Association",
Behavioral health hospitalizations,"per 10,000 residents",2011-2013,ZIP Code,Hospitalizations,Principal diagnosis.,"COMPdata Informatics, Illinois Health and Hospital Association",
COPD hospitalizations,"per 10,000 residents 40+",2011-2013,ZIP Code,Hospitalizations,Principal diagnosis. Includes obstetrics and transfers.,"COMPdata Informatics, Illinois Health and Hospital Association",
